62.019 79.795 76.558 85.347  
64.697 81.628 73.301 81.125  
90.826 101.54 78.59 76.848  
92.543 103.03 79.777 77.457  
60.966 73.131 83.61 94.087  
51.495 66.521 73.457 83.777  
53.548 70.898 68.627 77.846  
60.154 73.923 62.117 70.389  
69.001 80.503 62.762 68.637  
78.165 87.062 63.626 62.879  
82.88 90.64 66.07 61.805  
44.347 53.115 64.722 75.289  
41.781 49.491 56.16 66.783  
50.404 59.547 53.369 63.766  
63.735 67.419 46.981 55.046  
65.439 68.473 43.641 40.521  
73.113 76.677 51.903 43.46  
51.370 49.985 67.514 77.96  
55.447 48.535 66.046 76.094  
58.758 58.789 55.909 65.922  
68.638 65.877 49.512 53.926  
68.714 67.362 46.638 43.677  
88.949 86.313 66.427 56.955  
95.577 93.957 72.85 62.557  
100.38 86.296 111.29 120.02  
92.092 75.369 99.187 107.32  
75.849 58.150 81.251 89.806  
76.974 67.619 66.73 72.467  
76.900 68.535 63.636 67.821  
79.658 74.521 59.078 54.77  
94.529 90.827 72.242 63.202  
98.352 94.894 75.923 66.485  
104.07 89.419 114.18 122.66  
102.59 85.995 109.46 117.22 
