62.019 97.598 99.309 118.68
64.697 99.432 96.052 114.46
124.16 136.09 89.265 76.848
125.88 137.58 90.452 77.457
60.966 90.934 106.36 127.42
51.495 84.325 96.207 117.11
53.548 88.701 91.378 111.18
60.154 91.726 84.867 103.72
82.383 105.03 80.664 88.588
111.5 121.61 74.301 62.879
116.21 125.19 76.745 61.805
44.347 70.919 87.472 108.62
41.781 67.294 78.911 100.11
50.466 77.382 76.097 97.036
94.689 100.78 58.517 57.424
98.771 103.03 54.316 40.521
106.45 111.23 62.578 43.46
51.37 67.788 90.265 111.29
55.447 66.338 88.796 109.43
72.647 83.571 73.628 85.366
101.97 100.43 60.187 53.926
102.05 101.91 57.312 43.677
122.28 120.87 77.102 56.955
128.91 128.51 83.525 62.557
100.38 104.1 134.04 153.35
92.092 93.172 121.94 140.65
75.849 75.953 104.0 123.14
110.31 102.17 77.405 72.467
110.23 103.09 74.311 67.821
112.99 109.07 69.753 54.77
127.86 125.38 82.917 63.202
131.68 129.45 86.598 66.485
104.07 107.22 136.93 155.99
102.59 103.8 132.21 150.56
